b'timestamp',b'steering angle'
1479426202284614762,0.005235987715423107
1479426202334639157,0.005235987715423107
1479426202384666968,0.003490658476948738
1479426202434629145,0.001745329238474369
1479426202484475233,0.001745329238474369
1479426202535066336,0.001745329238474369
1479426202585547914,0.0
1479426202634526492,-0.001745329238474369
1479426202684786158,-0.005235987715423107
1479426202734235302,-0.006981316953897476
1479426202784733298,-0.008726646192371845
1479426202834666295,-0.008726646192371845
1479426202884479532,-0.010471975430846214
1479426202934642694,-0.010471975430846214
1479426202984454407,-0.012217304669320583
1479426203034466152,-0.012217304669320583
1479426203085588580,-0.010471975430846214
1479426203134769980,-0.010471975430846214
1479426203184928085,-0.010471975430846214
1479426203235595244,-0.008726646192371845
1479426203284850319,-0.006981316953897476
1479426203334693101,-0.003490658476948738
1479426203384653978,-0.001745329238474369
1479426203434606887,-0.001745329238474369
1479426203485729701,-0.001745329238474369
1479426203534726287,-0.001745329238474369
1479426203584605844,-0.001745329238474369
1479426203635736094,-0.001745329238474369
1479426203684615276,0.0
1479426203734704166,0.001745329238474369
1479426203784666625,0.001745329238474369
1479426203834503652,0.003490658476948738
1479426203884673625,0.003490658476948738
1479426203934539409,0.001745329238474369
1479426203984741022,0.001745329238474369
1479426204035986477,0.001745329238474369
1479426204085291203,0.001745329238474369
1479426204135023270,0.001745329238474369
1479426204184927688,0.001745329238474369
1479426204235893320,0.001745329238474369
1479426204284949644,0.001745329238474369
1479426204332948163,0.0
1479426204382598567,0.0
1479426204432981614,0.0
1479426204482665899,-0.001745329238474369
1479426204532655456,-0.006981316953897476
1479426204582705184,-0.010471975430846214
1479426204632759356,-0.012217304669320583
1479426204682686018,-0.012217304669320583
1479426204733138106,-0.013962633907794952
1479426204782870131,-0.013962633907794952
1479426204832725560,-0.013962633907794952
1479426204882687558,-0.013962633907794952
1479426204932724003,-0.022689281031489372
1479426204982824203,-0.03316125646233559
1479426205032725728,-0.04886921867728233
1479426205082890328,-0.06108652427792549
1479426205132796678,-0.07330382615327835
1479426205182745200,-0.07679449021816254
1479426205232754911,-0.07679449021816254
1479426205282843519,-0.07155849784612656
1479426205333113793,-0.07155849784612656
1479426205382816363,-0.07155849784612656
1479426205431297591,-0.07155849784612656
1479426205483204027,-0.07155849784612656
1479426205532766421,-0.07155849784612656
1479426205583021234,-0.07155849784612656
1479426205633626782,-0.07155849784612656
1479426205682675482,-0.07504915446043015
1479426205733056898,-0.08552113175392151
1479426205782778698,-0.0890117883682251
1479426205833000846,-0.09075712412595749
1479426205882843555,-0.09075712412595749
1479426205932757510,-0.09075712412595749
1479426205983080719,-0.09075712412595749
1479426206033139015,-0.09773843735456467
1479426206082767064,-0.10297442227602005
1479426206132811236,-0.10646508634090424
1479426206182831332,-0.10821041464805603
1479426206232739712,-0.10821041464805603
1479426206282857431,-0.10646508634090424
1479426206332767654,-0.10646508634090424
1479426206382784020,-0.10471975803375244
1479426206433108290,-0.10122909396886826
1479426206482870792,-0.09773843735456467
1479426206532835262,-0.09075712412595749
1479426206582968366,-0.08552113175392151
1479426206632812507,-0.08203047513961792
1479426206682888323,-0.08203047513961792
1479426206732799305,-0.07853981852531433
1479426206782881282,-0.07679449021816254
1479426206832990562,-0.07155849784612656
1479426206882809296,-0.07155849784612656
1479426206932936751,-0.07155849784612656
1479426206982964204,-0.07155849784612656
1479426207032928715,-0.07155849784612656
1479426207082871605,-0.07155849784612656
1479426207133291152,-0.07155849784612656
1479426207183000640,-0.07155849784612656
1479426207233119870,-0.07155849784612656
1479426207282950903,-0.07155849784612656
1479426207333036087,-0.07330382615327835
1479426207383089344,-0.07679449021816254
1479426207432968234,-0.08552113175392151
1479426207483025630,-0.09250245243310928
1479426207533027496,-0.09773843735456467
1479426207582977790,-0.09948376566171646
1479426207633227943,-0.10122909396886826
1479426207682962320,-0.10471975803375244
1479426207733148620,-0.11170107126235962
1479426207783156916,-0.1186823919415474
1479426207833191140,-0.13264502584934235
1479426207883094892,-0.13962633907794952
1479426207933215543,-0.14137166738510132
1479426207983138610,-0.13962633907794952
1479426208034038237,-0.13613568246364594
1479426208083476496,-0.13439035415649414
1479426208133437790,-0.13264502584934235
1479426208183791585,-0.13089969754219055
1479426208233974252,-0.12042772024869919
1479426208283825050,-0.10122909396886826
1479426208333862983,-0.07679449021816254
1479426208383839810,-0.06806784123182297
1479426208434324252,-0.07330382615327835
1479426208483798415,-0.08377580344676971
1479426208533916549,-0.0890117883682251
1479426208584115904,-0.0890117883682251
1479426208634420082,-0.08552113175392151
1479426208684019539,-0.08377580344676971
1479426208734016578,-0.08028514683246613
1479426208784573319,-0.07679449021816254
1479426208834752818,-0.07155849784612656
1479426208884029430,-0.06457718461751938
1479426208934655295,-0.057595863938331604
1479426208984575318,-0.054105207324028015
1479426209034058746,-0.05235987901687622
1479426209084076578,-0.05235987901687622
1479426209134114621,-0.05235987901687622
1479426209184015540,-0.05235987901687622
1479426209234137594,-0.05235987901687622
1479426209283970499,-0.05235987901687622
1479426209334736053,-0.05235987901687622
1479426209384092948,-0.05061454698443413
1479426209434257885,-0.04712389037013054
1479426209484111860,-0.04363323003053665
1479426209534214315,-0.04188790172338486
1479426209584135213,-0.04188790172338486
1479426209634633339,-0.04188790172338486
1479426209684678159,-0.045378562062978745
1479426209734202895,-0.04712389037013054
1479426209784116681,-0.04886921867728233
1479426209834373139,-0.057595863938331604
1479426209884208869,-0.06632251292467117
1479426209934152181,-0.07504915446043015
1479426209984345268,-0.08377580344676971
1479426210034951179,-0.0890117883682251
1479426210084415002,-0.09250245243310928
1479426210134829258,-0.09773843735456467
1479426210184246520,-0.10122909396886826
1479426210234280721,-0.10471975803375244
1479426210285130374,-0.11344639956951141
1479426210334279208,-0.1186823919415474
1479426210384342307,-0.12566371262073517
1479426210435532143,-0.12740904092788696
1479426210484833946,-0.12566371262073517
1479426210534879322,-0.1186823919415474
1479426210585487703,-0.10646508634090424
1479426210634493437,-0.10122909396886826
1479426210685041644,-0.10122909396886826
1479426210734404816,-0.10122909396886826
1479426210784392956,-0.10122909396886826
1479426210834966620,-0.10122909396886826
1479426210884484145,-0.09948376566171646
1479426210935163905,-0.09773843735456467
1479426210985641349,-0.09773843735456467
1479426211035256086,-0.09773843735456467
1479426211085048870,-0.09599310904741287
1479426211135146134,-0.09424778074026108
1479426211184993233,-0.09075712412595749
1479426211235084069,-0.0890117883682251
1479426211284978586,-0.08203047513961792
1479426211334444745,-0.07853981852531433
1479426211384592460,-0.07155849784612656
1479426211434622479,-0.07155849784612656
1479426211484770042,-0.06981316953897476
1479426211534639648,-0.06981316953897476
1479426211585757209,-0.06981316953897476
1479426211634625558,-0.06981316953897476
1479426211685363145,-0.06981316953897476
1479426211734841151,-0.06981316953897476
1479426211784831672,-0.06981316953897476
1479426211835302591,-0.06981316953897476
1479426211884709921,-0.07155849784612656
1479426211934776006,-0.07330382615327835
1479426211985440686,-0.07330382615327835
1479426212034982786,-0.07504915446043015
1479426212085200314,-0.07504915446043015
1479426212134988803,-0.07504915446043015
1479426212185415448,-0.07504915446043015
1479426212234793546,-0.07504915446043015
1479426212284758383,-0.07504915446043015
1479426212334884898,-0.07504915446043015
1479426212385316266,-0.07504915446043015
1479426212435616818,-0.07504915446043015
1479426212484927351,-0.07504915446043015
1479426212535656086,-0.07504915446043015
1479426212585010716,-0.07679449021816254
1479426212635071511,-0.07853981852531433
1479426212686122803,-0.08377580344676971
1479426212735559293,-0.0872664600610733
1479426212784943925,-0.09424778074026108
1479426212835591596,-0.09773843735456467
1479426212885766000,-0.09948376566171646
1479426212935023379,-0.09948376566171646
1479426212985115841,-0.09948376566171646
1479426213035716067,-0.09948376566171646
1479426213085056286,-0.09948376566171646
1479426213135138917,-0.09773843735456467
1479426213185269769,-0.09773843735456467
1479426213235192571,-0.09948376566171646
1479426213285155081,-0.09948376566171646
1479426213335830195,-0.09948376566171646
1479426213385727043,-0.10122909396886826
1479426213436017104,-0.10122909396886826
1479426213486223497,-0.10122909396886826
1479426213535585631,-0.10297442227602005
1479426213585200835,-0.10297442227602005
1479426213635214747,-0.10297442227602005
1479426213685354975,-0.10297442227602005
1479426213735401791,-0.10297442227602005
1479426213785348689,-0.10471975803375244
1479426213835412168,-0.10471975803375244
1479426213885291108,-0.10646508634090424
1479426213935939528,-0.10821041464805603
1479426213985297915,-0.10821041464805603
1479426214035832908,-0.10821041464805603
1479426214085412509,-0.10821041464805603
1479426214135247998,-0.10821041464805603
1479426214185324707,-0.10821041464805603
1479426214235351422,-0.10646508634090424
1479426214285226356,-0.10471975803375244
1479426214335353337,-0.10122909396886826
1479426214385263711,-0.09948376566171646
1479426214435249503,-0.09599310904741287
1479426214485392241,-0.0890117883682251
1479426214536119709,-0.0890117883682251
1479426214585970245,-0.08552113175392151
